LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,Location,start_latitude,start_longitude,end_latitude,end_longitude
103000207,ANG MO KIO AVENUE 4,C,3,20,29,1.377082366481272 103.8395587643731 1.3765237228546703 103.83946526641823,1.377082366481272,103.8395587643731,1.3765237228546703,103.83946526641823
103000210,ANG MO KIO AVENUE 4,C,5,40,49,1.3835254500944634 103.83770121892717 1.38338023612439 103.83781517599795,1.3835254500944634,103.83770121892717,1.38338023612439,103.83781517599795
103000211,ANG MO KIO AVENUE 4,C,2,10,19,1.38338023612439 103.83781517599795 1.3835254500944634 103.83770121892717,1.38338023612439,103.83781517599795,1.3835254500944634,103.83770121892717
103000214,ANG MO KIO AVENUE 4,C,5,40,49,1.38338023612439 103.83781517599795 1.3822793699880447 103.83863653439964,1.38338023612439,103.83781517599795,1.3822793699880447,103.83863653439964
103000215,ANG MO KIO AVENUE 4,C,3,20,29,1.3822793699880447 103.83863653439964 1.38338023612439 103.83781517599795,1.3822793699880447,103.83863653439964,1.38338023612439,103.83781517599795
103000218,ANG MO KIO AVENUE 4,C,5,40,49,1.3840112390167347 103.83732856251386 1.3835254500944634 103.83770121892717,1.3840112390167347,103.83732856251386,1.3835254500944634,103.83770121892717
103000219,ANG MO KIO AVENUE 4,C,2,10,19,1.3835254500944634 103.83770121892717 1.3840112390167347 103.83732856251386,1.3835254500944634,103.83770121892717,1.3840112390167347,103.83732856251386
103000222,ANG MO KIO AVENUE 8,C,4,30,39,1.3777027981180603 103.84756217854924 1.3771978910136298 103.84765705588656,1.3777027981180603,103.84756217854924,1.3771978910136298,103.84765705588656
103000223,ANG MO KIO AVENUE 8,C,4,30,39,1.3771978910136298 103.84765705588656 1.3777027981180603 103.84756217854924,1.3771978910136298,103.84765705588656,1.3777027981180603,103.84756217854924
103000226,ANG MO KIO AVENUE 8,C,4,30,39,1.3771978910136298 103.84765705588656 1.376730487972268 103.84773795161581,1.3771978910136298,103.84765705588656,1.376730487972268,103.84773795161581
103000227,ANG MO KIO AVENUE 8,C,3,20,29,1.376730487972268 103.84773795161581 1.3771978910136298 103.84765705588656,1.376730487972268,103.84773795161581,1.3771978910136298,103.84765705588656
103000228,DORSET ROAD,D,3,20,29,1.3133901063939397 103.85032404665321 1.3129765172117367 103.84974217909104,1.3133901063939397,103.85032404665321,1.3129765172117367,103.84974217909104
103000234,ANG MO KIO AVENUE 9,D,6,50,59,1.3839740978654103 103.84313695546383 1.3838894069258951 103.8424480441498,1.3839740978654103,103.84313695546383,1.3838894069258951,103.8424480441498
103000235,ANG MO KIO AVENUE 9,D,4,30,39,1.3838894069258951 103.8424480441498 1.3839740978654103 103.84313695546383,1.3838894069258951,103.8424480441498,1.3839740978654103,103.84313695546383
103000238,NORFOLK ROAD,B,6,50,59,1.317103654150258 103.84888640803763 1.3164233526759435 103.84775689847758,1.317103654150258,103.84888640803763,1.3164233526759435,103.84775689847758
103000239,NORFOLK ROAD,B,6,50,59,1.3164233526759435 103.84775689847758 1.317103654150258 103.84888640803763,1.3164233526759435,103.84775689847758,1.317103654150258,103.84888640803763
103000242,ANG MO KIO AVENUE 4,C,4,30,39,1.3748784522832425 103.83811376463666 1.3755371440113777 103.8390063090149,1.3748784522832425,103.83811376463666,1.3755371440113777,103.8390063090149
103000243,ANG MO KIO AVENUE 4,C,3,20,29,1.3755371440113777 103.8390063090149 1.3748784522832425 103.83811376463666,1.3755371440113777,103.8390063090149,1.3748784522832425,103.83811376463666
103000246,NASSIM ROAD,D,3,20,29,1.3112406329656845 103.82143582576197 1.3118940935550105 103.82204317904964,1.3112406329656845,103.82143582576197,1.3118940935550105,103.82204317904964
103000247,NASSIM ROAD,D,3,20,29,1.3118940935550105 103.82204317904964 1.3112406329656845 103.82143582576197,1.3118940935550105,103.82204317904964,1.3112406329656845,103.82143582576197
103000254,BALMORAL PARK,E,4,30,39,1.3134139917128311 103.82959840334954 1.3129593497249092 103.82975943310102,1.3134139917128311,103.82959840334954,1.3129593497249092,103.82975943310102
103000255,BALMORAL PARK,E,4,30,39,1.3129593497249092 103.82975943310102 1.3134139917128311 103.82959840334954,1.3129593497249092,103.82975943310102,1.3134139917128311,103.82959840334954
103000258,STEVENS ROAD,C,4,30,39,1.3131328782183662 103.82911750896497 1.3129593497249092 103.82975943310102,1.3131328782183662,103.82911750896497,1.3129593497249092,103.82975943310102
103000259,STEVENS ROAD,C,4,30,39,1.3129593497249092 103.82975943310102 1.3131328782183662 103.82911750896497,1.3129593497249092,103.82975943310102,1.3131328782183662,103.82911750896497
103000260,PETAIN ROAD,E,3,20,29,1.3128994765010902 103.85727722633219 1.3134069573818214 103.85667709880157,1.3128994765010902,103.85727722633219,1.3134069573818214,103.85667709880157
103000266,BALMORAL ROAD,D,4,30,39,1.3135704480430792 103.8305390230549 1.3129593497249092 103.82975943310102,1.3135704480430792,103.8305390230549,1.3129593497249092,103.82975943310102
103000267,BALMORAL ROAD,D,4,30,39,1.3129593497249092 103.82975943310102 1.3135704480430792 103.8305390230549,1.3129593497249092,103.82975943310102,1.3135704480430792,103.8305390230549
103000270,STEVENS ROAD,C,4,30,39,1.3129593497249092 103.82975943310102 1.3129482532197405 103.82979421597224,1.3129593497249092,103.82975943310102,1.3129482532197405,103.82979421597224
103000271,STEVENS ROAD,C,4,30,39,1.3129482532197405 103.82979421597224 1.3129593497249092 103.82975943310102,1.3129482532197405,103.82979421597224,1.3129593497249092,103.82975943310102
103000276,KAMPONG JAVA ROAD,F,4,30,39,1.3131522033523786 103.84591215724936 1.3129397527298754 103.8453609319561,1.3131522033523786,103.84591215724936,1.3129397527298754,103.8453609319561
103000282,KAMPONG JAVA ROAD,B,5,40,49,1.3128915402722743 103.8435107552494 1.3134502209463657 103.8434271564376,1.3128915402722743,103.8435107552494,1.3134502209463657,103.8434271564376
103000283,KAMPONG JAVA ROAD,B,5,40,49,1.3134502209463657 103.8434271564376 1.3128915402722743 103.8435107552494,1.3134502209463657,103.8434271564376,1.3128915402722743,103.8435107552494
103000290,RACE COURSE ROAD,D,3,20,29,1.3133115247400988 103.85513650754488 1.3128657945370725 103.85467601502488,1.3133115247400988,103.85513650754488,1.3128657945370725,103.85467601502488
